State,2017,Rank
,rate,
Hawaii,2.4,1
Colorado,2.7,2
New Hampshire,2.7,2
North Dakota,2.7,2
Nebraska,2.9,5
Vermont,3,6
Iowa,3.1,7
Idaho,3.2,8
South Dakota,3.2,8
Utah,3.3,10
Wisconsin,3.3,10
Maine,3.4,12
Minnesota,3.4,12
Indiana,3.6,14
Arkansas,3.7,15
Kansas,3.7,15
Virginia,3.7,15
Massachusetts,3.8,18
Missouri,3.8,18
Tennessee,3.8,18
Montana,3.9,21
Oregon,4.1,22
Florida,4.2,23
Oklahoma,4.2,23
Wyoming,4.2,23
Maryland,4.3,26
South Carolina,4.3,26
Texas,4.3,26
Alabama,4.4,29
Rhode Island,4.4,29
Delaware,4.5,31
North Carolina,4.5,31
Michigan,4.6,33
New Jersey,4.6,33
Connecticut,4.7,35
Georgia,4.7,35
New York,4.7,35
Washington,4.7,35
California,4.8,39
Arizona,4.9,40
Illinois,4.9,40
Kentucky,4.9,40
Pennsylvania,4.9,40
Ohio,5,44
Louisiana,5.1,45
Mississippi,5.1,45
Nevada,5.1,45
West Virginia,5.2,48
New Mexico,5.9,49
District of Columbia,6.1,50
Alaska,7,51
